Data;Ostatnio;Otwarcie;Max.;Min.;Wol.;Zmiana%
22.04.2022;106,65;108,26;108,76;105,54;125,87K;-1,55%
21.04.2022;108,33;107,07;109,8;106,76;185,38K;1,43%
20.04.2022;106,8;108,1;109;104,65;243,67K;-0,42%
19.04.2022;107,25;112,85;114,21;106,74;239,91K;-5,22%
18.04.2022;113,16;112,32;114,84;110,71;132,15K;1,31%
14.04.2022;111,7;108,29;112,39;106,63;210,18K;2,68%
13.04.2022;108,78;105,44;109;104,06;247,26K;3,96%
12.04.2022;104,64;99,35;105,6;98,9;273,95K;6,26%
11.04.2022;98,48;103,21;103,3;97,57;238,69K;-4,18%
08.04.2022;102,78;101,42;103,3;99,65;217,64K;2,19%
07.04.2022;100,58;101,78;103,59;98,41;296,03K;-0,48%
06.04.2022;101,07;105,7;108,67;100,54;286,52K;-5,22%
05.04.2022;106,64;108,51;109,9;104,53;203,06K;-0,83%
04.04.2022;107,53;104,08;108,68;102,89;218,68K;3,01%
01.04.2022;104,39;105,25;106,24;102,35;238,62K;-3,26%
31.03.2022;107,91;112,81;112,94;106,5;8,68K;-4,88%
30.03.2022;113,45;112;114,8;110,74;72,33K;2,92%
29.03.2022;110,23;110,1;114,83;104,84;93,68K;-2,00%
28.03.2022;112,48;119,9;119,9;109,06;150,82K;-6,77%
25.03.2022;120,65;118,88;120,92;115,16;133,46K;1,36%
24.03.2022;119,03;121,56;123,74;116,93;177,66K;-2,11%
23.03.2022;121,6;114,7;122,34;114,45;224,53K;5,30%
22.03.2022;115,48;117,04;119,48;112,64;204,66K;-0,12%
21.03.2022;115,62;107,5;116,8;107,06;196,49K;7,12%
18.03.2022;107,93;106,8;109,59;105,78;168,91K;1,21%
17.03.2022;106,64;98,61;107,5;97,75;200,95K;8,79%
16.03.2022;98,02;99,14;103,7;96,93;246,82K;-1,89%
15.03.2022;99,91;105,34;105,71;97,44;318,12K;-6,54%
14.03.2022;106,9;113,15;113,15;103,49;265,91K;-5,12%
11.03.2022;112,67;110,26;113,91;107,13;287,39K;3,05%
10.03.2022;109,33;112,65;118,36;109;352,34K;-1,63%
09.03.2022;111,14;130,28;131,64;105,6;521,58K;-13,16%
08.03.2022;127,98;124,56;133,15;121,31;469,99K;3,87%
07.03.2022;123,21;122,79;139,13;119,04;419,93K;4,32%
04.03.2022;118,11;114,23;118,98;109,62;334,41K;6,93%
03.03.2022;110,46;115,27;119,84;109,4;452,52K;-2,19%
02.03.2022;112,93;107,34;115,11;106,83;490,57K;7,58%
01.03.2022;104,97;98,43;107,67;98,3;492,51K;3,94%
28.02.2022;100,99;101,98;105,07;99,64;22,96K;3,12%
25.02.2022;97,93;100,69;101,99;96;68,98K;-1,16%
24.02.2022;99,08;98,08;105,79;97,56;167,79K;2,31%
